ping,pong,payload,run,p50,p99,p999,max,status
zerodds,zerodds,0,1,0,,,,timeout
zerodds,zerodds,0,1,0,,,,timeout
zerodds,zerodds,0,2,0,,,,timeout
zerodds,zerodds,0,2,0,,,,timeout
zerodds,zerodds,0,3,0,,,,timeout
zerodds,zerodds,0,3,31.569,63.089,137.47,171.194,ok
zerodds,cyclone,0,1,30.458,68.68,81.564,86.844,ok
zerodds,cyclone,0,2,49.273,82.496,158.57,1.20313,ok
zerodds,cyclone,0,3,42.691,74.721,88.758,1.20313,ok
zerodds,fastdds,0,1,42.53,96.122,179.63,387.083,ok
zerodds,fastdds,0,2,42.921,105.059,800.135,1140.01,ok
zerodds,fastdds,0,3,43.903,100.32,177.266,206.992,ok
zerodds,rti,0,1,33.643,74.29,101.122,186.362,ok
zerodds,rti,0,2,56.787,114.036,189.068,320.867,ok
zerodds,rti,0,3,141.808,1.20313,1.20313,1.20313,ok
cyclone,zerodds,0,1,1.20313,1.20313,1.20313,1.20313,ok
cyclone,zerodds,0,2,1.20313,1.20313,1.20313,1.20313,ok
cyclone,zerodds,0,3,1.20313,1.20313,1.20313,1.20313,ok
cyclone,cyclone,0,1,32.672,59.623,97.264,188.166,ok
cyclone,cyclone,0,2,34.937,68.49,158.12,197.354,ok
cyclone,cyclone,0,3,53.641,102.164,177.937,214.596,ok
cyclone,fastdds,0,1,55.425,95.13,131.809,184.339,ok
cyclone,fastdds,0,2,3900.03,1.20313,1.20313,1.20313,ok
cyclone,fastdds,0,3,0,,,,timeout
cyclone,fastdds,0,3,2988.54,1.20313,1.20313,1.20313,ok
cyclone,rti,0,1,64.993,170.302,268.979,1.20313,ok
cyclone,rti,0,2,61.206,160.304,227.21,1.20313,ok
cyclone,rti,0,3,86.614,175.833,199.839,1.20313,ok
fastdds,zerodds,0,1,40508.2,1.20313,40699.2,39495.2,ok
fastdds,zerodds,0,2,74919.4,1.20313,1.20313,1.20313,ok
fastdds,zerodds,0,3,1.20313,1.20313,1.20313,1.20313,ok
fastdds,cyclone,0,1,0,,,,timeout
fastdds,cyclone,0,1,40.407,80.413,97.214,179.63,ok
fastdds,cyclone,0,2,0,,,,timeout
fastdds,cyclone,0,2,41.289,82.716,219.615,1477.66,ok
fastdds,cyclone,0,3,4164.03,1.20313,1.20313,1.20313,ok
fastdds,fastdds,0,1,128.434,403.855,1.20313,1.20313,ok
fastdds,fastdds,0,2,47.21,91.764,136.338,496.34,ok
fastdds,fastdds,0,3,44.665,92.675,221.97,829.621,ok
fastdds,rti,0,1,39.304,90.131,243.24,1106.06,ok
fastdds,rti,0,2,46.718,95.661,200.259,247.258,ok
fastdds,rti,0,3,44.675,99.628,484.377,754.879,ok
rti,zerodds,0,1,3797.41,12573.7,19805.5,33804.8,ok
rti,zerodds,0,2,5192.55,29896.2,58236.1,60700.9,ok
rti,zerodds,0,3,4684.12,30037.9,56580.6,67318.6,ok
rti,cyclone,0,1,35.077,61.927,97.114,198.095,ok
rti,cyclone,0,2,53.762,58751.6,59886.9,60298.6,ok
rti,cyclone,0,3,5588.12,22226.9,24313.1,24588.3,ok
rti,fastdds,0,1,2668.92,1.20313,1.20313,1.20313,ok
rti,fastdds,0,2,53.371,101.011,150.295,749.869,ok
rti,fastdds,0,3,4289.58,1.20313,1.20313,1.20313,ok
rti,rti,0,1,1.20313,1.20313,1.20313,1.20313,ok
rti,rti,0,2,1.20313,1.20313,1.20313,1.20313,ok
rti,rti,0,3,481.161,1.20313,1.20313,1.20313,ok
zerodds,zerodds,1638,1,0,,,,timeout
zerodds,zerodds,1638,1,0,,,,timeout
zerodds,zerodds,1638,2,0,,,,timeout
zerodds,zerodds,1638,2,0,,,,timeout
zerodds,zerodds,1638,3,0,,,,timeout
zerodds,zerodds,1638,3,0,,,,timeout
zerodds,cyclone,1638,1,50.997,492.683,867.843,1.20313,ok
zerodds,cyclone,1638,2,38.863,75.112,246.367,450.984,ok
zerodds,cyclone,1638,3,40.456,76.635,93.928,130.678,ok
zerodds,fastdds,1638,1,51.638,74.852,99.198,166.495,ok
zerodds,fastdds,1638,2,52.92,109.117,368.949,813.481,ok
zerodds,fastdds,1638,3,48.802,94.749,151.537,1633.77,ok
zerodds,rti,1638,1,77.697,157.308,325.056,1.20313,ok
zerodds,rti,1638,2,42.029,77.837,138.222,222.782,ok
zerodds,rti,1638,3,47.941,103.757,280.371,310.609,ok
cyclone,zerodds,1638,1,34.686,70.934,101.772,146.548,ok
cyclone,zerodds,1638,2,0,,,,timeout
cyclone,zerodds,1638,2,0,,,,timeout
cyclone,zerodds,1638,3,0,,,,timeout
cyclone,zerodds,1638,3,1.20313,1.20313,1.20313,1.20313,ok
cyclone,cyclone,1638,1,44.875,92.284,127,925.142,ok
cyclone,cyclone,1638,2,32.281,69.972,96.924,176.454,ok
cyclone,cyclone,1638,3,63.52,102.955,150.074,238.973,ok
cyclone,fastdds,1638,1,59.252,109.157,132.601,438.771,ok
cyclone,fastdds,1638,2,62.598,104.417,129.385,295.89,ok
cyclone,fastdds,1638,3,87.515,147.018,229.314,263.288,ok
cyclone,rti,1638,1,84.149,169.511,247.569,1604.24,ok
cyclone,rti,1638,2,86.113,160.423,295.038,685.678,ok
cyclone,rti,1638,3,0,,,,timeout
cyclone,rti,1638,3,80.152,160.474,200.349,224.285,ok
fastdds,zerodds,1638,1,1.20313,1.20313,1.20313,1.20313,ok
fastdds,zerodds,1638,2,0,,,,timeout
fastdds,zerodds,1638,2,0,,,,timeout
fastdds,zerodds,1638,3,0,,,,timeout
fastdds,zerodds,1638,3,0,,,,timeout
fastdds,cyclone,1638,1,1977.79,11173.6,1687.53,1693.59,ok
fastdds,cyclone,1638,2,2302.26,3562.39,4158.2,2648.02,ok
fastdds,cyclone,1638,3,39.415,79.37,159.723,348.009,ok
fastdds,fastdds,1638,1,969.015,1272.99,1353.71,965.088,ok
fastdds,fastdds,1638,2,45.987,113.194,223.152,371.443,ok
fastdds,fastdds,1638,3,129.846,950.61,13849.5,66.786,ok
fastdds,rti,1638,1,48.892,117.833,8174.57,36.629,ok
fastdds,rti,1638,2,49.914,29625.2,71138.8,71308.1,ok
fastdds,rti,1638,3,43.923,82.937,276.664,2119.37,ok
rti,zerodds,1638,1,8083.27,1.20313,1.20313,1.20313,ok
rti,zerodds,1638,2,0,,,,timeout
rti,zerodds,1638,2,0,,,,timeout
