ping,pong,payload,run,p50,p99,p999,max,status
zerodds,zerodds,0,1,37.917,99.458,155.041,197.416,ok
zerodds,zerodds,0,2,38.042,103,145.708,305.125,ok
zerodds,zerodds,0,3,0,,,,timeout
zerodds,zerodds,0,3,0,,,,timeout
zerodds,cyclone,0,1,37.709,97.25,120.75,124.459,ok
zerodds,cyclone,0,2,52.5,115.125,145.833,201.75,ok
zerodds,cyclone,0,3,52.083,123.875,148.208,349.625,ok
zerodds,fastdds,0,1,368.666,466.833,1209.92,2087.21,ok
zerodds,fastdds,0,2,366.917,458.166,528.417,4430.17,ok
zerodds,fastdds,0,3,363.75,467.209,687.5,1578.42,ok
zerodds,rti,0,1,51.083,122.584,140.667,145.959,ok
zerodds,rti,0,2,50.916,122.625,143.333,201.375,ok
zerodds,rti,0,3,47.625,124.834,166.958,172.333,ok
cyclone,zerodds,0,1,4073.42,13430.4,23502.3,44572.2,ok
cyclone,zerodds,0,2,0,,,,timeout
cyclone,zerodds,0,2,0,,,,timeout
cyclone,zerodds,0,3,3998.33,13386.7,18500.1,20238.8,ok
cyclone,cyclone,0,1,759.75,7983.04,8429,8695.08,ok
cyclone,cyclone,0,2,492.167,16307.4,16664.4,16679.5,ok
cyclone,cyclone,0,3,33.166,96.667,112.375,117.708,ok
cyclone,fastdds,0,1,181.833,222.292,242.916,299.291,ok
cyclone,fastdds,0,2,176.833,229.875,311,350.291,ok
cyclone,fastdds,0,3,5438.29,23399.6,24146,24192,ok
cyclone,rti,0,1,35.334,98.75,104.25,112.875,ok
cyclone,rti,0,2,54.708,113.709,167.292,238.958,ok
cyclone,rti,0,3,35,99,117.209,131.459,ok
fastdds,zerodds,0,1,4007.83,16487.5,30216.3,73114.1,ok
fastdds,zerodds,0,2,3849.92,14656.5,24278.1,92288.8,ok
fastdds,zerodds,0,3,3695.38,16688.4,27294.2,36159.1,ok
fastdds,cyclone,0,1,32032.1,56006,56237.3,56190.4,ok
fastdds,cyclone,0,2,30538,71386.7,71892.2,71147,ok
fastdds,cyclone,0,3,35730.2,59099,62148.2,61872.7,ok
fastdds,fastdds,0,1,6383.21,12698,12935.7,15519,ok
fastdds,fastdds,0,2,6324.25,58817.2,59819.3,4166.21,ok
fastdds,fastdds,0,3,25105.5,46088.3,50527.3,50649.3,ok
fastdds,rti,0,1,0,,,,ghost
fastdds,rti,0,1,3364.92,12277.9,16500,7451.25,ok
fastdds,rti,0,2,16151,35796.5,36847.2,40545.9,ok
fastdds,rti,0,3,20408.6,61364.5,15140.4,15050.2,ok
rti,zerodds,0,1,4023.25,18751.5,28424.2,33213.5,ok
rti,zerodds,0,2,4027.71,16977.5,25521.4,27296.4,ok
rti,zerodds,0,3,0,,,,timeout
rti,zerodds,0,3,0,,,,timeout
rti,cyclone,0,1,4944,12535.2,12566.3,12582.1,ok
rti,cyclone,0,2,5099.12,32963.1,33144.5,33201.8,ok
rti,cyclone,0,3,416.708,32319.8,32414.8,32460.2,ok
rti,fastdds,0,1,139422,168300,169651,169672,ok
rti,fastdds,0,2,234.042,304.042,487.709,1881,ok
rti,fastdds,0,3,220.625,273.75,430.5,596.833,ok
rti,rti,0,1,41.584,116.084,141.666,142.625,ok
rti,rti,0,2,40.25,109.875,137.709,143.875,ok
rti,rti,0,3,41.625,126.375,138.75,138.917,ok
zerodds,zerodds,1638,1,37.708,105.125,139.167,176.209,ok
zerodds,zerodds,1638,2,0,,,,timeout
zerodds,zerodds,1638,2,0,,,,timeout
zerodds,zerodds,1638,3,0,,,,timeout
zerodds,zerodds,1638,3,0,,,,timeout
zerodds,cyclone,1638,1,44.709,122.916,132.458,186.208,ok
zerodds,cyclone,1638,2,6704.33,8308.92,8431.38,8434.71,ok
zerodds,cyclone,1638,3,6934.83,8299.83,8331.62,8334.42,ok
zerodds,fastdds,1638,1,224.667,316.375,502.458,992.375,ok
zerodds,fastdds,1638,2,222.375,310.667,1409.71,1724.33,ok
zerodds,fastdds,1638,3,26509.7,38263.9,40555.7,40630.5,ok
