ping,pong,payload,run,domain,p50,p99,p999,max,status
zerodds,zerodds,0,1,101,38.333,104.834,134.375,243.917,ok
zerodds,zerodds,0,2,102,38.375,99.125,184.125,343.375,ok
zerodds,zerodds,0,3,103,38.667,99.458,126.208,185.708,ok
zerodds,cyclone,0,1,104,38.208,102.25,126.708,203.75,ok
zerodds,cyclone,0,2,105,36.75,95.292,115.25,151.667,ok
zerodds,cyclone,0,3,106,36.625,94.084,108.417,151.917,ok
zerodds,fastdds,0,1,107,196.583,230.375,322.875,1460.42,ok
zerodds,fastdds,0,2,108,195.75,238.959,285.458,2939.62,ok
zerodds,fastdds,0,3,109,0,,,,timeout
zerodds,rti,0,1,110,45.708,152.875,197.458,234.917,ok
zerodds,rti,0,2,111,38.083,101.458,131.25,140.958,ok
zerodds,rti,0,3,112,45.75,163.166,183.166,261.625,ok
cyclone,zerodds,0,1,113,35.416,92.542,119.708,137.625,ok
cyclone,zerodds,0,2,114,36.083,107.166,127.958,132.375,ok
cyclone,zerodds,0,3,115,35.834,94.625,117.542,176.334,ok
cyclone,cyclone,0,1,116,33.875,97,119.5,138,ok
cyclone,cyclone,0,2,117,33.833,96.416,116.458,153.416,ok
cyclone,cyclone,0,3,118,32.792,96.209,117.167,156.25,ok
cyclone,fastdds,0,1,119,181.542,226.875,253.833,264.5,ok
cyclone,fastdds,0,2,120,181.959,231.625,257.083,286.375,ok
cyclone,fastdds,0,3,121,181.667,234.875,269.041,501.875,ok
cyclone,rti,0,1,122,34.75,97.75,115.375,135.667,ok
cyclone,rti,0,2,123,35.583,100.375,115.583,131.708,ok
cyclone,rti,0,3,124,34.459,99.208,118.75,140.416,ok
fastdds,zerodds,0,1,125,79.834,126.75,221.417,1121.12,ok
fastdds,zerodds,0,2,126,79.875,156.375,178.166,342.834,ok
fastdds,zerodds,0,3,127,79.541,155.584,218.167,294.333,ok
fastdds,cyclone,0,1,128,79.625,171.833,211.25,274.667,ok
fastdds,cyclone,0,2,129,78.417,173.416,240.042,294.625,ok
fastdds,cyclone,0,3,130,79.25,170.666,194,443.583,ok
fastdds,fastdds,0,1,131,6311.12,12619.6,12699.9,12882.4,ok
fastdds,fastdds,0,2,132,6330.08,12678.3,12822.6,13494.7,ok
fastdds,fastdds,0,3,133,8075.12,84947.9,78772.3,78404.6,ok
fastdds,rti,0,1,134,105.25,171.833,407.125,485.167,ok
fastdds,rti,0,2,135,104.791,165.208,404.208,558.709,ok
fastdds,rti,0,3,136,104.459,154.917,520.584,919.375,ok
rti,zerodds,0,1,137,0,,,,timeout
rti,zerodds,0,2,138,0,,,,timeout
rti,zerodds,0,3,139,0,,,,timeout
rti,cyclone,0,1,140,0,,,,timeout
rti,cyclone,0,2,141,0,,,,timeout
rti,cyclone,0,3,142,0,,,,timeout
rti,fastdds,0,1,143,0,,,,timeout
rti,fastdds,0,2,144,0,,,,timeout
rti,fastdds,0,3,145,0,,,,timeout
rti,rti,0,1,146,0,,,,timeout
rti,rti,0,2,147,0,,,,timeout
rti,rti,0,3,148,0,,,,timeout
zerodds,zerodds,1638,1,149,38.5,104.792,220.75,314.5,ok
zerodds,zerodds,1638,2,150,38.334,98.209,138.584,152.917,ok
zerodds,zerodds,1638,3,151,38.459,104.458,179.667,260,ok
zerodds,cyclone,1638,1,152,44.208,111.584,129.875,159.25,ok
zerodds,cyclone,1638,2,153,44.125,111.417,126.125,129,ok
zerodds,cyclone,1638,3,154,45.042,119.916,126.834,137.75,ok
zerodds,fastdds,1638,1,155,223.209,273.666,312.583,369.25,ok
zerodds,fastdds,1638,2,156,225.917,313,347.417,1396.21,ok
zerodds,fastdds,1638,3,157,223.291,313,344.916,514.334,ok
zerodds,rti,1638,1,158,46.792,295.958,358.917,378.958,ok
zerodds,rti,1638,2,159,48.125,509.75,561.875,600.292,ok
zerodds,rti,1638,3,160,53.292,355.875,494.458,575.625,ok
cyclone,zerodds,1638,1,161,41.167,112.75,122.167,140.334,ok
cyclone,zerodds,1638,2,162,41.292,114.416,133.584,158.791,ok
cyclone,zerodds,1638,3,163,40.958,113.208,137.375,153.583,ok
cyclone,cyclone,1638,1,164,34.542,107.875,145.875,175.834,ok
cyclone,cyclone,1638,2,165,34.334,101.916,121,132.334,ok
cyclone,cyclone,1638,3,166,34.291,98.625,132.333,149.958,ok
cyclone,fastdds,1638,1,167,185.958,239.667,267.542,359.875,ok
cyclone,fastdds,1638,2,168,186,239.333,267.292,1356.04,ok
cyclone,fastdds,1638,3,169,185.166,245.292,267.75,314.708,ok
cyclone,rti,1638,1,170,35.5,101.875,142.458,159.709,ok
cyclone,rti,1638,2,171,35.417,90.583,104.709,111.334,ok
cyclone,rti,1638,3,172,34.958,100.708,123.166,136.584,ok
fastdds,zerodds,1638,1,173,102.75,170.959,235.583,328.75,ok
fastdds,zerodds,1638,2,174,97.375,179.333,344.625,560.625,ok
fastdds,zerodds,1638,3,175,105.25,164.375,401.916,1358.08,ok
fastdds,cyclone,1638,1,176,80.958,175.541,203.375,350.792,ok
fastdds,cyclone,1638,2,177,79.417,167.583,199.417,260.917,ok
fastdds,cyclone,1638,3,178,80.417,175.583,208.292,359.708,ok
fastdds,fastdds,1638,1,179,6338.54,12690.3,12752.4,12837.2,ok
fastdds,fastdds,1638,2,180,6348.83,12695.4,12823,13138,ok
fastdds,fastdds,1638,3,181,6328.5,12686.1,12857.6,13267.9,ok
fastdds,rti,1638,1,182,106.333,168.209,459,586.625,ok
fastdds,rti,1638,2,183,107,172.084,474.042,534.292,ok
fastdds,rti,1638,3,184,105.75,157.209,464.542,620.5,ok
rti,zerodds,1638,1,185,0,,,,timeout
rti,zerodds,1638,2,186,0,,,,timeout
rti,zerodds,1638,3,187,0,,,,timeout
rti,cyclone,1638,1,188,0,,,,timeout
rti,cyclone,1638,2,189,0,,,,timeout
rti,cyclone,1638,3,190,0,,,,timeout
rti,fastdds,1638,1,191,0,,,,timeout
rti,fastdds,1638,2,192,0,,,,timeout
rti,fastdds,1638,3,193,0,,,,timeout
rti,rti,1638,1,194,0,,,,timeout
rti,rti,1638,2,195,0,,,,timeout
rti,rti,1638,3,196,0,,,,timeout
zerodds,zerodds,4096,1,197,38.5,104.292,146,207.083,ok
zerodds,zerodds,4096,2,198,40.667,113.083,163.041,341.542,ok
zerodds,zerodds,4096,3,199,38.875,100.792,164.875,188.375,ok
zerodds,cyclone,4096,1,100,58.375,127.125,143.708,153.167,ok
zerodds,cyclone,4096,2,101,59.042,122.792,142.792,162.791,ok
zerodds,cyclone,4096,3,102,59.583,129.291,150.667,201.416,ok
zerodds,fastdds,4096,1,103,261,343.75,442.959,526.5,ok
zerodds,fastdds,4096,2,104,261.708,301.417,369.084,388.333,ok
zerodds,fastdds,4096,3,105,258.875,313.125,361.667,384.416,ok
zerodds,rti,4096,1,106,58,124.125,139.458,152.625,ok
zerodds,rti,4096,2,107,58.667,126.459,152.958,160.167,ok
zerodds,rti,4096,3,108,57.583,118.041,132.458,141.208,ok
cyclone,zerodds,4096,1,109,55.584,119,135.125,141.167,ok
cyclone,zerodds,4096,2,110,55.5,126,156.708,167.625,ok
cyclone,zerodds,4096,3,111,56,117.458,139.375,149.666,ok
cyclone,cyclone,4096,1,112,35.875,101.125,135.75,168.792,ok
cyclone,cyclone,4096,2,113,35,102.667,140.917,146.833,ok
cyclone,cyclone,4096,3,114,35.292,105.667,160.417,178.667,ok
cyclone,fastdds,4096,1,115,189.75,246.791,459.5,1988.83,ok
