ping,pong,payload,run,p50,p99,p999,max,status
zerodds,zerodds,0,1,37.834,104.041,141.958,272.625,ok
zerodds,zerodds,0,2,38.458,98.208,163.5,333.167,ok
zerodds,zerodds,0,3,37.917,102.875,199.834,230.541,ok
zerodds,cyclone,0,1,37.5,96.708,115.875,133.208,ok
zerodds,cyclone,0,2,37.334,96.083,114.083,124.542,ok
zerodds,cyclone,0,3,37.208,97.125,119.167,131.416,ok
zerodds,fastdds,0,1,195.917,244.125,373.167,461.917,ok
zerodds,fastdds,0,2,195.834,235.416,355.25,493.709,ok
zerodds,fastdds,0,3,196.625,247.708,294.875,477.084,ok
zerodds,rti,0,1,41.167,166.333,251.541,362.542,ok
zerodds,rti,0,2,36.25,88.166,110.417,142.917,ok
zerodds,rti,0,3,38.042,100.625,131.167,153.708,ok
cyclone,zerodds,0,1,35.875,92.917,107.375,140.792,ok
cyclone,zerodds,0,2,35.583,93.917,108.625,123.167,ok
cyclone,zerodds,0,3,36,92.459,118.125,129.625,ok
cyclone,cyclone,0,1,32.959,96.375,116.417,138.167,ok
cyclone,cyclone,0,2,35.417,92.916,100.542,104.792,ok
cyclone,cyclone,0,3,33.25,96.167,123.458,127.458,ok
cyclone,fastdds,0,1,181.166,233.875,326.875,454.042,ok
cyclone,fastdds,0,2,181,232.25,246.75,462.5,ok
cyclone,fastdds,0,3,181.375,221.083,240.958,398.208,ok
cyclone,rti,0,1,35.084,98.5,107.834,128.708,ok
cyclone,rti,0,2,35.208,93.875,114,131.209,ok
cyclone,rti,0,3,36.083,99.084,116.666,135.875,ok
fastdds,zerodds,0,1,80,144.208,206,285.334,ok
fastdds,zerodds,0,2,79.75,150.958,181.917,410.334,ok
fastdds,zerodds,0,3,79.875,142.333,209.334,236.291,ok
fastdds,cyclone,0,1,73.5,166.209,320.959,614.875,ok
fastdds,cyclone,0,2,80.625,172,312.208,564.666,ok
fastdds,cyclone,0,3,87.417,155.875,179.209,203.125,ok
fastdds,fastdds,0,1,6313.79,12629.5,12699.6,12741.1,ok
fastdds,fastdds,0,2,6334.71,12688.4,13166.8,14587.7,ok
fastdds,fastdds,0,3,6332.79,12749.1,13165.8,13808.2,ok
fastdds,rti,0,1,104.75,150.791,534.625,628.541,ok
fastdds,rti,0,2,103.958,161.875,480.208,530.625,ok
fastdds,rti,0,3,105.417,162.875,443.208,502.458,ok
rti,zerodds,0,1,34.25,91.334,148.583,208.542,ok
rti,zerodds,0,2,0,,,,timeout
rti,zerodds,0,2,0,,,,timeout
rti,zerodds,0,3,0.001,22745.5,23698.8,23842.4,ok
rti,cyclone,0,1,6132.71,29235,29431.5,29594.2,ok
rti,cyclone,0,2,9425.96,30613.2,31403.8,31433.2,ok
rti,cyclone,0,3,8066.08,27972.2,28493.4,28777.1,ok
rti,fastdds,0,1,353.584,500.541,672.834,1212.29,ok
rti,fastdds,0,2,20670.3,22246.9,22571.1,22585.3,ok
rti,fastdds,0,3,5131.67,120609,125348,125814,ok
rti,rti,0,1,1556.46,24579.3,33135.8,33805.9,ok
rti,rti,0,2,15273.1,26461.8,26842,26929,ok
rti,rti,0,3,63.791,17587.4,18190,18236.5,ok
zerodds,zerodds,1638,1,6689.75,28631,37748,39376.7,ok
zerodds,zerodds,1638,2,7254.29,53567.6,127903,165200,ok
zerodds,zerodds,1638,3,0,,,,timeout
zerodds,zerodds,1638,3,38.459,110.459,197.166,302.208,ok
zerodds,cyclone,1638,1,44.666,112.584,137.25,216.916,ok
zerodds,cyclone,1638,2,44.459,116,130.625,137.75,ok
zerodds,cyclone,1638,3,44.916,117.417,157.959,168.208,ok
zerodds,fastdds,1638,1,0.001,0.001,0.001,0.001,ok
zerodds,fastdds,1638,2,25810.2,80305.1,85095.9,85278.3,ok
zerodds,fastdds,1638,3,0.001,83611.6,84936.5,85019.1,ok
zerodds,rti,1638,1,6999.17,9799.5,9876.04,9960.17,ok
zerodds,rti,1638,2,5568.17,7425.54,7542.5,7591.88,ok
zerodds,rti,1638,3,11396,13645.9,13681.7,13694,ok
cyclone,zerodds,1638,1,0.001,0.001,0.001,37224.1,ok
cyclone,zerodds,1638,2,0.001,19304.6,36468.7,54536.5,ok
cyclone,zerodds,1638,3,0.001,2.05536,3.57827,3.75686,ok
cyclone,cyclone,1638,1,34.208,99,138.292,165,ok
cyclone,cyclone,1638,2,33.917,101.041,168.333,192.958,ok
cyclone,cyclone,1638,3,34.166,98.791,121.125,134.167,ok
cyclone,fastdds,1638,1,9656.21,29149.9,51928.3,54768.1,ok
cyclone,fastdds,1638,2,184.75,241.25,268,624.834,ok
cyclone,fastdds,1638,3,0,,,,timeout
cyclone,fastdds,1638,3,14720.5,100004,104570,104721,ok
cyclone,rti,1638,1,34.084,98.959,115.208,126.083,ok
cyclone,rti,1638,2,51.208,126.25,147.166,166.375,ok
cyclone,rti,1638,3,34.625,97.916,123.5,130.375,ok
fastdds,zerodds,1638,1,0.001,23345.8,49097.3,0.001,ok
fastdds,zerodds,1638,2,18860.8,50146.2,50876.4,51016.7,ok
fastdds,zerodds,1638,3,19940.2,118237,128292,128509,ok
fastdds,cyclone,1638,1,1417.25,216142,69624,5610,ok
fastdds,cyclone,1638,2,81.75,177.958,200.125,297.166,ok
fastdds,cyclone,1638,3,87.709,156.583,179,298.291,ok
fastdds,fastdds,1638,1,6315.75,12673.1,12725.6,13077.4,ok
fastdds,fastdds,1638,2,6334.71,12702.1,13007.8,14363.3,ok
fastdds,fastdds,1638,3,6318.33,12684.8,12880.2,13029.8,ok
fastdds,rti,1638,1,107.041,160.25,410,502.125,ok
fastdds,rti,1638,2,125.292,172.833,447.083,591.25,ok
fastdds,rti,1638,3,106.083,171.875,534.209,622.875,ok
rti,zerodds,1638,1,0,,,,timeout
rti,zerodds,1638,1,0,,,,timeout
rti,zerodds,1638,2,0,,,,timeout
rti,zerodds,1638,2,0,,,,timeout
rti,zerodds,1638,3,0,,,,timeout
rti,zerodds,1638,3,0,,,,timeout
rti,cyclone,1638,1,7819.96,9230.29,9348.5,9370.25,ok
rti,cyclone,1638,2,4731.21,9863.12,10125.4,10171.6,ok
rti,cyclone,1638,3,5345.79,10925.7,11527.3,11575.5,ok
rti,fastdds,1638,1,364.125,512.833,816.584,2033.21,ok
rti,fastdds,1638,2,341.5,423.75,577.75,881.834,ok
rti,fastdds,1638,3,20817.2,23127.7,23686.5,23771.1,ok
rti,rti,1638,1,45.709,109.292,123.75,146.708,ok
rti,rti,1638,2,66.25,288.792,426.416,942.041,ok
rti,rti,1638,3,46.125,22919.9,60801,61156.3,ok
zerodds,zerodds,4096,1,0,,,,timeout
zerodds,zerodds,4096,1,4698.46,20480.4,217629,324195,ok
zerodds,zerodds,4096,2,6214.54,27769.7,353928,417977,ok
zerodds,zerodds,4096,3,0,,,,timeout
zerodds,zerodds,4096,3,0,,,,timeout
zerodds,cyclone,4096,1,59.375,130,159.959,183.542,ok
zerodds,cyclone,4096,2,60.25,135.541,153.125,166.167,ok
zerodds,cyclone,4096,3,59.75,131.542,146.625,155.667,ok
zerodds,fastdds,4096,1,263.333,324.083,650.333,1919.46,ok
zerodds,fastdds,4096,2,476.292,602.083,889.042,2125.5,ok
zerodds,fastdds,4096,3,11205.1,30493.8,34015.4,34474.9,ok
zerodds,rti,4096,1,65.208,2134.33,2147.62,2168.08,ok
zerodds,rti,4096,2,2986.08,4306.75,4363.92,4387.04,ok
zerodds,rti,4096,3,3101.88,4208.96,4252.25,4263.71,ok
cyclone,zerodds,4096,1,0,,,,timeout
cyclone,zerodds,4096,1,0,,,,timeout
cyclone,zerodds,4096,2,0,,,,timeout
cyclone,zerodds,4096,2,0,,,,timeout
cyclone,zerodds,4096,3,4415.92,2.58755,3.65539,3.71547,ok
cyclone,cyclone,4096,1,35.875,110.875,149.875,169.625,ok
cyclone,cyclone,4096,2,35.667,102.666,139.875,174,ok
cyclone,cyclone,4096,3,34.334,99.333,147.541,163.833,ok
cyclone,fastdds,4096,1,5928.62,152796,171919,192781,ok
cyclone,fastdds,4096,2,229.958,352.291,611.833,881.333,ok
cyclone,fastdds,4096,3,0,,,,timeout
cyclone,fastdds,4096,3,0,,,,timeout
cyclone,rti,4096,1,0,,,,timeout
cyclone,rti,4096,1,0,,,,timeout
cyclone,rti,4096,2,0,,,,timeout
cyclone,rti,4096,2,53.334,125.375,150.166,177.041,ok
cyclone,rti,4096,3,53.208,117.625,129.709,142.708,ok
fastdds,zerodds,4096,1,4413.83,79902.9,90179.3,90464.3,ok
fastdds,zerodds,4096,2,5929.71,56801,60416.7,89509.3,ok
fastdds,zerodds,4096,3,22055.5,192170,195147,195424,ok
fastdds,cyclone,4096,1,2060.29,3342.04,3395.67,2185.71,ok
fastdds,cyclone,4096,2,13224.2,40279.2,46884.5,49947.3,ok
fastdds,cyclone,4096,3,82.25,180.083,225.334,507.875,ok
fastdds,fastdds,4096,1,6317.08,12657.4,12726,12797.2,ok
fastdds,fastdds,4096,2,6321.54,12682.5,13059.7,13924.8,ok
fastdds,fastdds,4096,3,6342.88,12716.4,13275.8,14011.6,ok
fastdds,rti,4096,1,97.375,391.625,3107.04,26647.2,ok
fastdds,rti,4096,2,108.959,159.125,412.041,496.459,ok
fastdds,rti,4096,3,127.792,176.459,539.541,1284.58,ok
rti,zerodds,4096,1,0,,,,timeout
rti,zerodds,4096,1,0,,,,timeout
rti,zerodds,4096,2,0,,,,timeout
rti,zerodds,4096,2,0,,,,timeout
rti,zerodds,4096,3,0,,,,timeout
rti,zerodds,4096,3,0,,,,timeout
rti,cyclone,4096,1,58.541,115.208,159.166,164.75,ok
rti,cyclone,4096,2,60.208,3338.42,4283.5,4442.96,ok
rti,cyclone,4096,3,35.333,90.25,109.625,130.958,ok
rti,fastdds,4096,1,21098.1,311813,315992,316415,ok
rti,fastdds,4096,2,12431.5,180551,254974,255044,ok
rti,fastdds,4096,3,376.417,474.666,940.792,1417.54,ok
rti,rti,4096,1,54.292,31323.3,39768.2,40054,ok
rti,rti,4096,2,55.458,30268.1,38235.4,38834,ok
rti,rti,4096,3,7615.33,153994,154874,154969,ok
zerodds,zerodds,8192,1,0,,,,timeout
zerodds,zerodds,8192,1,0,,,,timeout
zerodds,zerodds,8192,2,0,,,,timeout
zerodds,zerodds,8192,2,0,,,,timeout
zerodds,zerodds,8192,3,0,,,,timeout
zerodds,zerodds,8192,3,0,,,,timeout
zerodds,cyclone,8192,1,1616.17,3267.17,3789.71,3909.46,ok
zerodds,cyclone,8192,2,925.042,3956.92,4028.21,4066.04,ok
zerodds,cyclone,8192,3,1152.83,2923.92,2993.38,3003.58,ok
zerodds,fastdds,8192,1,0.001,73411.5,76958.5,78026.8,ok
zerodds,fastdds,8192,2,1639.83,30027.3,38943,39647.8,ok
