payload,run,p50,p99,p999,max
0,1,41.625,112.291,122.959,125.084
0,2,41.042,110.583,116.792,128.042
0,3,41.875,111.125,120.292,125.625
0,4,40.959,107.625,119.292,134.584
0,5,41.625,110.625,126.084,153.958
0,6,42.041,95.375,114.083,118
0,7,42.542,106.25,117.291,128.958
0,8,42.042,111.917,118,122.417
0,9,41.75,112.75,148.125,159.791
0,10,42.042,109.959,124.25,133.833
0,11,41.75,112.25,119.292,126.5
0,12,41.834,111.875,120.667,138.791
0,13,41.625,110.917,120.042,148.417
0,14,41.792,111.375,119.333,158.333
0,15,41.917,112.333,122,134.667
4096,1,42.292,115.916,135.583,143.75
4096,2,43.083,112.792,121.375,156.708
4096,3,42.917,116.291,121,132.459
4096,4,42.25,92.75,110.292,117.167
4096,5,42.833,116.833,161.5,163.292
4096,6,43.458,119.042,123.375,128.75
4096,7,42.792,118.25,138.541,148.625
4096,8,42.209,114.625,129.917,183.584
4096,9,42.208,121.292,159.25,174.333
4096,10,43.291,119,129.459,131.916
4096,11,42.666,120.5,129.5,131.917
4096,12,42.875,161.458,174.625,176.708
4096,13,43.125,118.834,135.167,140.75
4096,14,42.667,120.208,125.75,158.542
4096,15,42.458,108.208,173.292,174.917
8192,1,42.125,108.5,137.542,146.292
8192,2,43.25,125.083,139.167,160.208
8192,3,42.208,162.5,186.375,201.667
8192,4,43.166,125.25,143.375,145.125
8192,5,42.916,126.833,141.75,149.042
8192,6,42.875,124.625,137.792,145.125
8192,7,42.958,117.459,121.792,137.583
8192,8,43.084,127.208,139.916,149.75
8192,9,42.667,112.5,189.125,201.708
8192,10,43,118.458,135.042,138.666
8192,11,42.625,114.833,128,149.584
8192,12,43.375,124.833,139.375,150.417
8192,13,42.958,124.583,138.792,153.916
8192,14,43.25,125.375,139.708,165.458
8192,15,42.916,123.667,149.167,185.625
