vendor,payload,run,p50,p99,p999,max
zerodds,0,1,37.917,104.833,207.625,396.333
zerodds,0,2,38.125,102.834,190.833,384.291
zerodds,0,3,39.625,93.333,138.375,199.542
zerodds,0,4,38.209,101.417,221.584,451.041
zerodds,0,5,37.917,104.125,175.208,543.417
zerodds,0,6,38.292,97.209,149.25,211
zerodds,0,7,38.208,98.708,238.709,390.542
zerodds,0,8,37.875,99.083,144.708,205.708
zerodds,0,9,37.667,95.875,136.75,216.25
zerodds,0,10,40.917,118.75,240.875,435.25
zerodds,0,11,37.792,94.791,161.084,197.375
zerodds,0,12,37.75,98.75,189.875,433.459
zerodds,0,13,37.667,150.542,196.917,267.542
zerodds,0,14,38,98.75,140.959,263.958
zerodds,0,15,38,100.542,122.667,141.791
zerodds,4096,1,40.5,98.834,115,136.417
zerodds,4096,2,40.792,104.166,155.542,266.25
zerodds,4096,3,38.625,102.916,129.208,212.209
zerodds,4096,4,38.708,100.25,145.834,224.083
zerodds,4096,5,39.167,105.667,153.542,163.583
zerodds,4096,6,37.583,178.583,191.875,245.584
zerodds,4096,7,38.709,99.625,122.625,289.458
zerodds,4096,8,39,99.917,149.375,164.75
zerodds,4096,9,37.917,101.917,124.958,209.833
zerodds,4096,10,40.958,104.583,146,200.75
zerodds,4096,11,39.042,99.417,155.75,252.792
zerodds,4096,12,38.375,104.958,144,161.209
zerodds,4096,13,40.417,108.709,131.042,156.208
zerodds,4096,14,39.208,101.917,143.458,266.792
zerodds,4096,15,38.125,104.291,131.708,144
zerodds,8192,1,40.209,105.083,123.791,245.583
zerodds,8192,2,39.833,103.167,164.417,190.208
zerodds,8192,3,39.583,106.542,168.083,179.583
zerodds,8192,4,40.084,100.083,125.709,262.333
zerodds,8192,5,40.166,105.416,174.875,241.625
zerodds,8192,6,40.625,102,126.917,278.5
zerodds,8192,7,40.708,104.084,124.666,155.667
zerodds,8192,8,40.541,99,119.708,220.958
zerodds,8192,9,40.416,100.208,115.666,223.875
zerodds,8192,10,41.625,104.458,144.791,212.709
zerodds,8192,11,39.959,99.25,121.084,210.833
zerodds,8192,12,40.084,103.791,120.708,273.167
zerodds,8192,13,39.083,103.208,142.208,277.25
zerodds,8192,14,40.333,117.667,154.333,234.417
zerodds,8192,15,39.833,146,212.708,222.042
cyclone,0,1,33.292,97.625,116.417,127.375
cyclone,0,2,33.542,94.917,99.583,109.042
cyclone,0,3,32.834,95.042,111.375,138.416
cyclone,0,4,33.041,95.125,110.708,133.708
cyclone,0,5,33.375,96.042,111.75,116
cyclone,0,6,32.916,95.334,114.542,137.875
cyclone,0,7,32.917,96.041,101.583,114.792
cyclone,0,8,33.333,98.167,118.209,151.334
cyclone,0,9,33.292,97.208,110.75,181.25
cyclone,0,10,33.166,98.417,112.792,122.875
cyclone,0,11,33.25,98.041,113.583,117.292
cyclone,0,12,33.042,97.417,114.917,126.584
cyclone,0,13,33,95.958,112.084,116.084
cyclone,0,14,33.792,96.084,112.208,115.083
