host,transport,security,governance,ping,pong,n,p50_us,status
codepit,UDPv4,DDS-Security-1.2,data-encrypt,cyclone,cyclone,2000,44.4,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,cyclone,fastdds,2000,44.6,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,cyclone,opendds,2000,44.8,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,cyclone,zerodds,2000,53.2,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,fastdds,cyclone,2000,106.5,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,fastdds,fastdds,2000,108.9,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,fastdds,opendds,2000,110.1,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,fastdds,zerodds,2000,110.3,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,opendds,cyclone,2000,133.0,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,opendds,fastdds,2000,124.9,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,opendds,opendds,2000,131.6,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,opendds,zerodds,2000,125.2,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,zerodds,cyclone,2000,,nomatch_zerodds_initiator_xvendor
codepit,UDPv4,DDS-Security-1.2,data-encrypt,zerodds,fastdds,2000,,nomatch_zerodds_initiator_xvendor
codepit,UDPv4,DDS-Security-1.2,data-encrypt,zerodds,opendds,2000,,nomatch_zerodds_initiator_xvendor
codepit,UDPv4,DDS-Security-1.2,data-encrypt,zerodds,zerodds,2000,65.7,ok
codepit,UDPv4,DDS-Security-1.2,data-encrypt,rti,rti,0,,license_eval_blocked
