host,ping,pong,payload,domain,n,min,p50,p90,p99,p999,max,status
codepit,zerodds,zerodds,0,200,100,26.57,30.708,31.79,45.205,45.205,74.842,ok
codepit,zerodds,zerodds,64,200,100,20.178,30.398,36.319,63.66,63.66,82.245,ok
codepit,zerodds,zerodds,256,200,100,30.368,30.899,34.966,94.589,94.589,106.271,ok
codepit,zerodds,zerodds,1024,200,100,28.083,31.369,35.277,44.083,44.083,49.574,ok
codepit,zerodds,zerodds,4096,200,100,26.1,33.253,44.464,54.884,54.884,61.106,ok
codepit,cyclone,cyclone,0,201,100,29.586,34.956,40.777,71.074,71.074,94.379,ok
codepit,cyclone,cyclone,64,201,100,30.858,48.792,66.356,73.339,73.339,74.04,ok
codepit,cyclone,cyclone,256,201,100,34.666,35.908,40.627,53.031,53.031,54.744,ok
codepit,cyclone,cyclone,1024,201,100,35.767,50.054,56.086,60.916,60.916,68.009,ok
codepit,cyclone,cyclone,4096,201,100,34.015,44.765,58.24,68.6,68.6,83.629,ok
codepit,fastdds,fastdds,0,202,100,54.233,56.337,62.859,107.374,107.374,120.238,ok
codepit,fastdds,fastdds,64,202,100,36.138,46.448,69.281,90.782,90.782,194.128,ok
codepit,fastdds,fastdds,256,202,100,31.159,41.909,66.276,87.776,87.776,88.417,ok
codepit,fastdds,fastdds,1024,202,100,38.663,57.93,82.336,111.01,111.01,126.3,ok
codepit,fastdds,fastdds,4096,202,100,56.758,64.171,74.811,83.838,83.838,127.321,ok
codepit,rti,rti,0,203,100,21.16,38.132,57.71,125.006,125.006,946.272,ok
codepit,rti,rti,64,203,100,29.245,37.962,71.495,129.956,129.956,146.047,ok
codepit,rti,rti,256,203,100,22.482,24.266,40.216,81.314,81.314,120.799,ok
codepit,rti,rti,1024,203,100,31.449,41.318,54.043,81.654,81.654,136.188,ok
codepit,rti,rti,4096,203,100,43.853,54.212,61.466,73.119,73.119,134.295,ok
codepit,opendds,opendds,0,204,100,244.343,384.779,495.017,610.105,610.105,652.957,ok
codepit,opendds,opendds,64,204,100,96.453,120.107,151.667,182.005,182.005,187.796,ok
codepit,opendds,opendds,256,204,100,303.885,666.211,716.917,887.64,887.64,975.757,ok
codepit,opendds,opendds,1024,204,100,101.001,239.513,255.494,401.961,401.961,1038.94,ok
codepit,opendds,opendds,4096,204,100,167.787,253.019,452.326,543.86,543.86,546.595,ok
