host,transport,ping,pong,payload,domain,n,min,p50,p90,p99,p999,max,status
codepit,UDPv6,zerodds,zerodds,0,211,30,28.374,31.609,33.333,37.461,37.461,40.086,ok
codepit,UDPv6,zerodds,cyclone,0,212,0,,,,,,,timeout(rc=1)
codepit,UDPv6,zerodds,fastdds,0,213,0,,,,,,,timeout(rc=1)
codepit,UDPv6,zerodds,rti,0,214,0,,,,,,,timeout(rc=1)
codepit,UDPv6,zerodds,opendds,0,215,0,,,,,,,timeout(rc=0)
codepit,UDPv6,cyclone,zerodds,0,216,0,,,,,,,timeout(rc=0)
codepit,UDPv6,cyclone,cyclone,0,217,30,36.389,45.766,53.952,54.413,54.413,66.987,ok
codepit,UDPv6,cyclone,fastdds,0,218,30,31.67,63.249,104.487,148.08,148.08,651.674,ok
codepit,UDPv6,cyclone,rti,0,219,0,,,,,,,timeout(rc=0)
codepit,UDPv6,cyclone,opendds,0,220,0,,,,,,,timeout(rc=0)
codepit,UDPv6,fastdds,zerodds,0,221,0,,,,,,,timeout(rc=0)
codepit,UDPv6,fastdds,cyclone,0,222,30,40.166,65.634,77.437,106.582,106.582,321.779,ok
codepit,UDPv6,fastdds,fastdds,0,223,30,58.872,60.765,75.854,95.672,95.672,105.099,ok
codepit,UDPv6,fastdds,rti,0,224,0,,,,,,,timeout(rc=0)
codepit,UDPv6,fastdds,opendds,0,225,0,,,,,,,timeout(rc=0)
codepit,UDPv6,rti,zerodds,0,226,0,,,,,,,timeout(rc=0)
codepit,UDPv6,rti,cyclone,0,227,0,,,,,,,timeout(rc=0)
codepit,UDPv6,rti,fastdds,0,228,0,,,,,,,timeout(rc=0)
codepit,UDPv6,rti,rti,0,229,0,,,,,,,timeout(rc=0)
codepit,UDPv6,rti,opendds,0,230,0,,,,,,,timeout(rc=0)
codepit,UDPv6,opendds,zerodds,0,231,0,,,,,,,timeout(rc=124)
codepit,UDPv6,opendds,cyclone,0,232,0,,,,,,,timeout(rc=0)
codepit,UDPv6,opendds,fastdds,0,233,0,,,,,,,timeout(rc=0)
codepit,UDPv6,opendds,rti,0,234,0,,,,,,,timeout(rc=0)
codepit,UDPv6,opendds,opendds,0,235,30,240.455,299.538,339.102,569.118,569.118,615.485,ok
