host,ping,pong,payload,domain,n,min,p50,p90,p99,p999,max,status
codepit,zerodds,zerodds,0,141,50,19.968,29.837,47.77,85.702,85.702,90.451,ok
codepit,zerodds,cyclone,0,142,50,29.376,37.772,54.834,72.046,72.046,106.421,ok
codepit,zerodds,fastdds,0,143,50,42,53.692,72.448,87.986,87.986,114.827,ok
codepit,zerodds,rti,0,144,50,21.701,46.398,88.497,128.824,128.824,132.43,ok
codepit,zerodds,opendds,0,145,50,67.478,80.963,114.497,237.961,237.961,244.783,ok
codepit,cyclone,zerodds,0,146,50,22.482,30.748,34.125,44.104,44.104,46.959,ok
codepit,cyclone,cyclone,0,147,50,29.836,35.547,64.583,80.021,80.021,81.243,ok
codepit,cyclone,fastdds,0,148,50,31.9,54.373,77.987,86.654,86.654,88.037,ok
codepit,cyclone,rti,0,149,50,75.643,83.428,92.766,97.966,97.966,139.624,ok
codepit,cyclone,opendds,0,150,50,69.231,90.541,117.973,156.597,156.597,285.19,ok
codepit,fastdds,zerodds,0,151,50,40.327,67.037,106.431,131.719,131.719,202.243,ok
codepit,fastdds,cyclone,0,152,50,28.274,35.156,44.665,55.255,55.255,80.092,ok
codepit,fastdds,fastdds,0,153,50,30.779,57.91,113.725,277.656,277.656,293.015,ok
codepit,fastdds,rti,0,154,50,45.586,68.019,73.81,97.464,97.464,231.078,ok
codepit,fastdds,opendds,0,155,50,79.12,114.918,175.522,250.143,250.143,109.788,ok
codepit,rti,zerodds,0,156,50,23.776,33.924,44.424,81.425,81.425,145.896,ok
codepit,rti,cyclone,0,157,50,38.603,65.314,119.015,134.595,134.595,147.81,ok
codepit,rti,fastdds,0,158,50,40.787,46.899,50.145,54.113,54.113,87.105,ok
codepit,rti,rti,0,159,50,31.851,37.481,49.975,67.278,67.278,142.941,ok
codepit,rti,opendds,0,160,0,,,,,,,timeout(rc=0)
codepit,opendds,zerodds,0,161,50,72.116,81.364,135.607,148.972,148.972,359.962,ok
codepit,opendds,cyclone,0,162,50,111.872,122.843,165.353,174.831,174.831,185.021,ok
codepit,opendds,fastdds,0,163,50,134.184,162.307,245.165,270.051,270.051,272.346,ok
codepit,opendds,rti,0,164,0,,,,,,,timeout(rc=0)
codepit,opendds,opendds,0,165,50,441.746,730.453,1003.06,1079.6,1079.6,1096.03,ok
