host,ping,pong,payload,domain,n,min,p50,p90,p99,p999,max,status
codepit,zerodds,zerodds,0,221,100,21.952,32.111,40.036,49.163,49.163,55.475,ok
codepit,zerodds,cyclone,0,222,100,28.584,38.173,56.487,95.24,95.24,139.975,ok
codepit,zerodds,fastdds,0,223,100,33.854,46.799,63.11,118.244,118.244,10262,ok
codepit,zerodds,rti,0,224,100,29.385,34.345,61.928,202.233,202.233,224.766,ok
codepit,zerodds,opendds,0,225,100,52.769,69.642,123.885,217.953,217.953,298.405,ok
codepit,cyclone,zerodds,0,226,100,24.466,26.901,48.913,59.343,59.343,60.916,ok
codepit,cyclone,cyclone,0,227,100,28.655,34.595,38.854,46.858,46.858,49.584,ok
codepit,cyclone,fastdds,0,228,0,,,,,,,timeout(rc=0)
codepit,cyclone,rti,0,229,100,67.578,75.734,81.144,95.26,95.26,128.293,ok
codepit,cyclone,opendds,0,230,100,66.396,84.38,116.35,145.235,145.235,168.218,ok
codepit,fastdds,zerodds,0,231,100,38.323,52.64,70.202,77.156,77.156,78.919,ok
codepit,fastdds,cyclone,0,232,0,,,,,,,timeout(rc=0)
codepit,fastdds,fastdds,0,233,0,,,,,,,timeout(rc=1)
codepit,fastdds,rti,0,234,0,,,,,,,timeout(rc=1)
codepit,fastdds,opendds,0,235,0,,,,,,,timeout(rc=1)
codepit,rti,zerodds,0,236,0,,,,,,,timeout(rc=0)
codepit,rti,cyclone,0,237,0,,,,,,,timeout(rc=0)
codepit,rti,fastdds,0,238,0,,,,,,,timeout(rc=0)
codepit,rti,rti,0,239,100,30.247,36.619,51.798,65.163,65.163,111.331,ok
codepit,rti,opendds,0,240,0,,,,,,,timeout(rc=0)
codepit,opendds,zerodds,0,241,0,,,,,,,timeout(rc=0)
codepit,opendds,cyclone,0,242,0,,,,,,,timeout(rc=0)
codepit,opendds,fastdds,0,243,0,,,,,,,timeout(rc=0)
codepit,opendds,rti,0,244,0,,,,,,,timeout(rc=0)
codepit,opendds,opendds,0,245,100,94.84,230.296,297.994,1425.73,1425.73,2199.78,ok
