host,ping,pong,payload,domain,n,min,p50,p90,p99,p999,max,status
m1,zerodds,zerodds,0,200,100,116.625,150.625,205.625,223.583,223.583,233.625,ok
m1,zerodds,zerodds,64,200,100,119.25,152.833,209.708,225.291,225.291,232.334,ok
m1,zerodds,zerodds,256,200,100,117.375,152.708,209.458,235.417,235.417,248.584,ok
m1,zerodds,zerodds,1024,200,100,121.5,136.333,210.959,221.625,221.625,231.875,ok
m1,zerodds,zerodds,4096,200,100,124.584,159.542,228.917,251.667,251.667,263.25,ok
m1,cyclone,cyclone,0,201,100,55.459,170.208,230.416,232.792,232.792,239.708,ok
m1,cyclone,cyclone,64,201,100,68.583,141.583,232.375,247.625,247.625,255.416,ok
m1,cyclone,cyclone,256,201,100,118.791,137.625,185.167,247.875,247.875,256.125,ok
m1,cyclone,cyclone,1024,201,100,109.959,171.875,203.75,243,243,250.583,ok
m1,cyclone,cyclone,4096,201,100,112.833,165.75,204.209,381.625,381.625,404.25,ok
m1,fastdds,fastdds,0,202,100,5135.54,6329.12,6340.17,12594.5,12594.5,12705.5,ok
m1,fastdds,fastdds,64,202,100,6303.42,6330.21,6341.58,12624.7,12624.7,12657.6,ok
m1,fastdds,fastdds,256,202,100,5137.46,6332.88,12599.8,12722.1,12722.1,12739.7,ok
m1,fastdds,fastdds,1024,202,100,5315.62,6331.88,6344.79,12463.9,12463.9,12578.9,ok
m1,fastdds,fastdds,4096,202,100,5250.33,6330.96,12249.3,12587.2,12587.2,12668.2,ok
m1,rti,rti,0,203,100,96.541,142.709,193.041,359.5,359.5,460.958,ok
m1,rti,rti,64,203,100,108.334,136.625,197.5,245.667,245.667,309.375,ok
m1,rti,rti,256,203,100,88.167,97.084,107.375,126.417,126.417,158.125,ok
m1,rti,rti,1024,203,100,108.334,123.166,201.125,238.958,238.958,309.542,ok
m1,rti,rti,4096,203,100,111.792,117.584,190.958,244.958,244.958,259.916,ok
m1,opendds,opendds,0,204,100,312.291,419.333,490.916,557,557,570.458,ok
m1,opendds,opendds,64,204,100,314.916,419.416,516.625,546.666,546.666,574.083,ok
m1,opendds,opendds,256,204,100,310.042,411.666,509.333,583.292,583.292,620.334,ok
m1,opendds,opendds,1024,204,100,300.375,423.666,499.709,559.916,559.916,593.167,ok
m1,opendds,opendds,4096,204,100,327.333,440.125,498,562.375,562.375,591.875,ok
