host,ping,pong,payload,domain,n,min,p50,p90,p99,p999,max,status
m1,zerodds,zerodds,0,141,50,150.542,205.916,227.833,275.75,275.75,281,ok
m1,zerodds,cyclone,0,142,50,163.459,221.917,232.625,252.208,252.208,257.333,ok
m1,zerodds,fastdds,0,143,50,191.5,214.708,277.708,294.125,294.125,296,ok
m1,zerodds,rti,0,144,50,148.458,204.083,225.917,251.25,251.25,257.584,ok
m1,zerodds,opendds,0,145,50,210.041,387.833,463.583,572.25,572.25,576.417,ok
m1,cyclone,zerodds,0,146,50,144.125,207.792,224.166,239.542,239.542,246.125,ok
m1,cyclone,cyclone,0,147,50,129.875,171.791,244.416,248.25,248.25,259.042,ok
m1,cyclone,fastdds,0,148,50,153.417,207.458,286.25,306.125,306.125,309.041,ok
m1,cyclone,rti,0,149,50,149.417,178.542,263.584,358.084,358.084,469.542,ok
m1,cyclone,opendds,0,150,50,225.583,428.5,596.834,779.166,779.166,783.584,ok
m1,fastdds,zerodds,0,151,50,144.583,213.125,262.583,285.291,285.291,291.041,ok
m1,fastdds,cyclone,0,152,50,153.833,202.834,281.833,293.417,293.417,308.416,ok
m1,fastdds,fastdds,0,153,50,6300.25,6333.33,12588.8,12627,12627,12629.1,ok
m1,fastdds,rti,0,154,50,181.542,252.208,268.417,278.417,278.417,438,ok
m1,fastdds,opendds,0,155,46,834.75,1194.62,1535.25,1844.88,1844.88,4004.67,ok
m1,rti,zerodds,0,156,50,141.125,193.708,204.5,207.667,207.667,236.667,ok
m1,rti,cyclone,0,157,50,149,208.959,238.375,266.209,266.209,272.667,ok
m1,rti,fastdds,0,158,50,119.083,130.416,147.708,164.833,164.833,192.208,ok
m1,rti,rti,0,159,50,138.334,189.167,208.167,254.917,254.917,296.167,ok
m1,rti,opendds,0,160,0,,,,,,,timeout(rc=0)
m1,opendds,zerodds,0,161,50,147.417,323.75,629.708,653.625,653.625,777.667,ok
m1,opendds,cyclone,0,162,50,207.208,458.458,588.959,607.833,607.833,754.375,ok
m1,opendds,fastdds,0,163,39,1876.88,160448,910423,1.06144,1.06144,5.39347,ok
m1,opendds,rti,0,164,0,,,,,,,timeout(rc=0)
m1,opendds,opendds,0,165,50,342.916,418.916,513.041,553.042,553.042,581.709,ok
