host,ping,pong,payload,domain,n,min,p50,p90,p99,p999,max,status
m1,zerodds,zerodds,0,221,100,117.916,136.375,209.5,223.625,223.625,304.792,ok
m1,zerodds,cyclone,0,222,100,128.75,143.291,228.166,258.541,258.541,324.834,ok
m1,zerodds,fastdds,0,223,100,154.125,175.5,267.167,287.333,287.333,297.583,ok
m1,zerodds,rti,0,224,100,606.708,924.667,989.833,999.25,999.25,1050.96,ok
m1,zerodds,opendds,0,225,100,187.125,295.834,434.917,532.125,532.125,569.209,ok
m1,cyclone,zerodds,0,226,100,116.291,149.791,207.042,220.042,220.042,225,ok
m1,cyclone,cyclone,0,227,100,130.25,135.208,188.375,238.792,238.792,249.5,ok
m1,cyclone,fastdds,0,228,0,,,,,,,timeout(rc=0)
m1,cyclone,rti,0,229,0,,,,,,,timeout(rc=0)
m1,cyclone,opendds,0,230,100,174.333,227.417,391.75,545.709,545.709,563.792,ok
m1,fastdds,zerodds,0,231,100,116.792,138.459,151.083,161.75,161.75,169.833,ok
m1,fastdds,cyclone,0,232,0,,,,,,,timeout(rc=0)
m1,fastdds,fastdds,0,233,0,,,,,,,timeout(rc=1)
m1,fastdds,rti,0,234,0,,,,,,,timeout(rc=1)
m1,fastdds,opendds,0,235,0,,,,,,,timeout(rc=1)
m1,rti,zerodds,0,236,0,,,,,,,timeout(rc=0)
m1,rti,cyclone,0,237,0,,,,,,,timeout(rc=0)
m1,rti,fastdds,0,238,0,,,,,,,timeout(rc=0)
m1,rti,rti,0,239,100,107.75,137.709,199,225.334,225.334,286.917,ok
m1,rti,opendds,0,240,0,,,,,,,timeout(rc=0)
m1,opendds,zerodds,0,241,0,,,,,,,timeout(rc=0)
m1,opendds,cyclone,0,242,0,,,,,,,timeout(rc=0)
m1,opendds,fastdds,0,243,0,,,,,,,timeout(rc=0)
m1,opendds,rti,0,244,0,,,,,,,timeout(rc=0)
m1,opendds,opendds,0,245,100,308.875,430.166,498.291,552.25,552.25,626.917,ok
